1,0.139978
2,0.135075
3,-0.377167
4,-0.37716
5,0.137715
6,0.140888
7,0.140091
8,0.142975
9,0.136411
10,0.130313
11,0.138614
12,0.134205
13,0.134212
14,0.140604
15,0.138908
16,0.139115
17,0.136945
18,0.138762
19,0.136643
1,0.14006
2,0.135107
3,-0.377748
4,-0.377738
5,0.137745
6,0.140945
7,0.140165
8,0.143076
9,0.136424
10,0.130288
11,0.13865
12,0.134207
13,0.134199
14,0.14068
15,0.138969
16,0.139172
17,0.136969
18,0.138817
19,0.136669
1,0.14307
2,0.136178
3,-0.400507
4,-0.400505
5,0.138728
6,0.143025
7,0.14299
8,0.14701
9,0.136699
10,0.128957
11,0.139954
12,0.134089
13,0.133518
14,0.14366
15,0.141178
16,0.141297
17,0.137534
18,0.140914
19,0.13744
1,0.14594
2,0.137211
3,-0.422222
4,-0.42222
5,0.139653
6,0.145004
7,0.145708
8,0.150783
9,0.13696
10,0.127684
11,0.141193
12,0.133983
13,0.132893
14,0.146507
15,0.143297
16,0.143316
17,0.138102
18,0.142893
19,0.138169
1,0.149023
2,0.138315
3,-0.445235
4,-0.445237
5,0.140666
6,0.147116
7,0.148587
8,0.154782
9,0.137275
10,0.12636
11,0.142529
12,0.133878
13,0.132264
14,0.149503
15,0.145544
16,0.145449
17,0.138752
18,0.145005
19,0.138987
1,0.151959
2,0.139354
3,-0.467479
4,-0.467488
5,0.141601
6,0.149126
7,0.151352
8,0.158634
9,0.13757
10,0.125041
11,0.143793
12,0.133759
13,0.13161
14,0.152388
15,0.147688
16,0.147496
17,0.139334
18,0.147044
19,0.139752
1,0.15497
2,0.140438
3,-0.489956
4,-0.489964
5,0.142591
6,0.151197
7,0.154179
8,0.162557
9,0.137906
10,0.123772
11,0.145135
12,0.133683
13,0.130996
14,0.155344
15,0.149907
16,0.149566
17,0.139964
18,0.149135
19,0.140564
1,0.157936
2,0.1415
3,-0.512239
4,-0.512257
5,0.143547
6,0.153269
7,0.156972
8,0.166433
9,0.138211
10,0.12247
11,0.146421
12,0.133606
13,0.130346
14,0.158227
15,0.152111
16,0.151606
17,0.140517
18,0.151159
19,0.141328
1,0.16083
2,0.142561
3,-0.534001
4,-0.534024
5,0.144468
6,0.155233
7,0.159702
8,0.170236
9,0.138524
10,0.121202
11,0.147676
12,0.133554
13,0.129746
14,0.161085
15,0.154251
16,0.153585
17,0.141053
18,0.153167
19,0.142063
1,0.163905
2,0.143722
3,-0.557007
4,-0.55703
5,0.145471
6,0.15736
7,0.162588
8,0.174252
9,0.138873
10,0.119913
11,0.149021
12,0.133465
13,0.129116
14,0.164097
15,0.156527
16,0.155718
17,0.14163
18,0.155296
19,0.142875
1,0.166763
2,0.144747
3,-0.578695
4,-0.578725
5,0.146376
6,0.159337
7,0.165277
8,0.178035
9,0.139155
10,0.118638
11,0.15026
12,0.133344
13,0.128501
14,0.166931
15,0.158644
16,0.15769
17,0.142151
18,0.157293
19,0.143608
1,0.169828
2,0.145883
3,-0.601697
4,-0.601733
5,0.147369
6,0.16149
7,0.16817
8,0.182053
9,0.139466
10,0.117325
11,0.151573
12,0.133259
13,0.127872
14,0.169961
15,0.160924
16,0.159826
17,0.142762
18,0.159447
19,0.144436
1,0.172779
2,0.146926
3,-0.623953
4,-0.623993
5,0.148313
6,0.16355
7,0.170917
8,0.185933
9,0.13973
10,0.116006
11,0.152816
12,0.133159
13,0.127228
14,0.17289
15,0.163115
16,0.161865
17,0.143292
18,0.161485
19,0.145211
1,0.175686
2,0.147957
3,-0.645683
4,-0.645725
5,0.149226
6,0.165578
7,0.173615
8,0.189688
9,0.140002
10,0.114738
11,0.154041
12,0.133056
13,0.126611
14,0.175739
15,0.165266
